# # k, P(k),P(k)-shotnoise, Nmodes
1.184382922568056218e+00 2.286672578061477452e+02 9.107795719044938210e+01 4.453300000000000000e+05
1.190653318049772258e+00 2.277788629628133208e+02 9.018956234711495767e+01 4.508360000000000000e+05
1.196918726837574054e+00 2.271512658118706156e+02 8.956196519617225249e+01 4.537220000000000000e+05
1.203203941861949566e+00 2.268534853822059461e+02 8.926418476650758294e+01 4.634540000000000000e+05
1.209492404352916051e+00 2.252343688184958523e+02 8.764506820279748922e+01 4.638000000000000000e+05
1.215771355333522763e+00 2.237472794028601015e+02 8.615797878716173841e+01 4.715780000000000000e+05
1.222064664468862416e+00 2.236681676615982326e+02 8.607886704589986948e+01 4.760860000000000000e+05
1.228353922954420918e+00 2.230401007428724824e+02 8.545080012717411932e+01 4.800280000000000000e+05
1.234638470013954770e+00 2.226178303506999612e+02 8.502852973500159806e+01 4.861600000000000000e+05
1.240913261509356103e+00 2.212306037667330827e+02 8.364130315103471958e+01 4.877540000000000000e+05
1.247188250643475937e+00 2.207776220529563034e+02 8.318832143725794026e+01 4.961340000000000000e+05
1.253473069443996613e+00 2.194852502743249545e+02 8.189594965862659137e+01 4.994820000000000000e+05
1.259761898162141902e+00 2.188735055400782699e+02 8.128420492437990674e+01 5.065000000000000000e+05
1.266044124118156144e+00 2.174344873286938480e+02 7.984518671299548487e+01 5.091880000000000000e+05
1.272325893222376436e+00 2.179337765347555376e+02 8.034447591905717445e+01 5.154900000000000000e+05
1.278614164208257353e+00 2.162105164053139958e+02 7.862121578961563273e+01 5.212680000000000000e+05
1.284892611208029889e+00 2.157278056911938222e+02 7.813850507549545910e+01 5.238700000000000000e+05
1.291183645279231351e+00 2.151142856339218952e+02 7.752498501822353205e+01 5.336400000000000000e+05
1.297481503837926153e+00 2.148282502423062397e+02 7.723894962660787655e+01 5.355220000000000000e+05
1.303753723784867535e+00 2.139225078682401602e+02 7.633320725254179706e+01 5.391000000000000000e+05
1.310018983865986586e+00 2.129556629681492552e+02 7.536636235245089210e+01 5.455720000000000000e+05
1.316308510930670250e+00 2.132967969050691863e+02 7.570749628937082321e+01 5.530760000000000000e+05
1.322598362398576421e+00 2.119640129634831851e+02 7.437471234778482199e+01 5.564880000000000000e+05
1.328872053478450166e+00 2.121411047868008950e+02 7.455180417110253188e+01 5.606140000000000000e+05
1.335152188378053495e+00 2.099924736937356329e+02 7.240317307803726976e+01 5.684260000000000000e+05
1.341449661995184561e+00 2.101586360633179424e+02 7.256933544761957933e+01 5.746600000000000000e+05
1.347738927854007729e+00 2.093120135615675110e+02 7.172271294586914792e+01 5.770720000000000000e+05
1.354008700766087481e+00 2.091492858329267506e+02 7.155998521722838746e+01 5.822700000000000000e+05
1.360289660314967009e+00 2.082704944112613532e+02 7.068119379556299009e+01 5.901560000000000000e+05
