# # k, P(k),P(k)-shotnoise, Nmodes
3.109471038444538982e-01 8.670782386308008427e+03 8.616760038991638794e+03 3.094400000000000000e+04
3.172476750734718465e-01 8.644452610781412659e+03 8.590430263465043026e+03 3.198000000000000000e+04
3.235400448401911655e-01 8.573570051099333796e+03 8.519547703782964163e+03 3.352600000000000000e+04
3.298240459879566155e-01 8.409785071823540420e+03 8.355762724507170788e+03 3.446400000000000000e+04
3.361484519828671913e-01 8.324759720196379931e+03 8.270737372880010298e+03 3.651400000000000000e+04
3.424245328606954630e-01 8.199585323177954706e+03 8.145562975861585073e+03 3.675800000000000000e+04
3.486779824429606656e-01 8.223555802530929213e+03 8.169533455214559581e+03 3.881000000000000000e+04
3.549863988041813134e-01 8.109941952288126231e+03 8.055919604971756598e+03 4.041000000000000000e+04
3.612333738091870750e-01 8.020101225559347768e+03 7.966078878242978135e+03 4.071400000000000000e+04
3.675042092955584372e-01 8.012545256140786478e+03 7.958522908824416845e+03 4.367000000000000000e+04
3.737994570270907757e-01 8.003417631678124962e+03 7.949395284361755330e+03 4.398600000000000000e+04
3.800864636623462745e-01 7.945780875168345119e+03 7.891758527851975487e+03 4.642800000000000000e+04
3.863718149601460539e-01 7.784524894027114897e+03 7.730502546710745264e+03 4.723600000000000000e+04
3.926652062093009543e-01 7.669744256123860396e+03 7.615721908807490763e+03 4.938600000000000000e+04
3.989690954083237040e-01 7.742961295638078809e+03 7.688938948321709177e+03 5.079600000000000000e+04
4.052314429539636831e-01 7.625150416920087991e+03 7.571128069603718359e+03 5.174000000000000000e+04
4.115238727386639761e-01 7.730955508650603406e+03 7.676933161334233773e+03 5.460200000000000000e+04
4.178033403078543762e-01 7.511961844189943804e+03 7.457939496873574171e+03 5.484400000000000000e+04
4.240515472996450597e-01 7.534790524780193664e+03 7.480768177463824031e+03 5.723200000000000000e+04
4.303677505012359350e-01 7.518450904385479589e+03 7.464428557069109957e+03 5.964800000000000000e+04
4.366726307806358953e-01 7.383473374834718925e+03 7.329451027518349292e+03 6.038400000000000000e+04
4.429228297480427012e-01 7.500817592130207231e+03 7.446795244813837598e+03 6.217000000000000000e+04
4.491736915552866916e-01 7.383647621286672802e+03 7.329625273970303169e+03 6.383200000000000000e+04
4.554569188183393291e-01 7.355039580490767548e+03 7.301017233174397916e+03 6.627200000000000000e+04
4.617788911268420060e-01 7.344217294672765092e+03 7.290194947356395460e+03 6.860400000000000000e+04
4.680995906845802912e-01 7.281391771166853687e+03 7.227369423850484054e+03 6.982400000000000000e+04
4.743866829976556287e-01 7.352347917942166532e+03 7.298325570625796900e+03 7.159800000000000000e+04
4.806701266904181979e-01 7.231839314926380212e+03 7.177816967610010579e+03 7.363400000000000000e+04
4.869464029839004060e-01 7.215345708613256647e+03 7.161323361296887015e+03 7.514600000000000000e+04
4.932051255392171929e-01 7.117988848335992770e+03 7.063966501019623138e+03 7.732800000000000000e+04
4.994696626648479909e-01 7.140046844044548379e+03 7.086024496728178747e+03 7.884800000000000000e+04
5.057193073175597631e-01 7.068764511609896545e+03 7.014742164293526912e+03 8.116400000000000000e+04
5.119989495044070527e-01 7.037196122821769677e+03 6.983173775505400044e+03 8.364400000000000000e+04
5.183159826466314790e-01 7.026368471558489546e+03 6.972346124242119913e+03 8.615600000000000000e+04
5.246107092885408107e-01 7.001797892942385261e+03 6.947775545626015628e+03 8.741000000000000000e+04
5.308819677746196009e-01 7.018508222107905567e+03 6.964485874791535934e+03 8.933800000000000000e+04
5.371663275127862569e-01 6.931022993767776825e+03 6.877000646451407192e+03 9.246200000000000000e+04
5.434900758720350167e-01 6.912639856481371680e+03 6.858617509165002048e+03 9.450400000000000000e+04
5.497699542502575420e-01 6.945074900362512381e+03 6.891052553046142748e+03 9.565800000000000000e+04
5.560083363989032357e-01 6.896075760891147183e+03 6.842053413574777551e+03 9.759800000000000000e+04
5.623114537777685884e-01 6.868262945598983606e+03 6.814240598282613973e+03 1.019620000000000000e+05
5.686318313430648308e-01 6.780246025685299173e+03 6.726223678368929541e+03 1.029860000000000000e+05
5.748997298340194906e-01 6.773195137409106792e+03 6.719172790092737159e+03 1.044280000000000000e+05
5.811784316152807106e-01 6.768801455604348121e+03 6.714779108287978488e+03 1.082760000000000000e+05
5.874623501555152894e-01 6.779500692768890076e+03 6.725478345452520443e+03 1.091300000000000000e+05
5.937358705487374433e-01 6.718294835375721959e+03 6.664272488059352327e+03 1.124920000000000000e+05
6.000132321575981642e-01 6.734274133669882758e+03 6.680251786353513126e+03 1.142380000000000000e+05
6.062764279011477742e-01 6.742879561480855045e+03 6.688857214164485413e+03 1.165200000000000000e+05
6.125579126729602253e-01 6.642237880479035994e+03 6.588215533162666361e+03 1.198680000000000000e+05
6.188758883571132685e-01 6.664144970530416686e+03 6.610122623214047053e+03 1.227600000000000000e+05
6.251574688191492424e-01 6.620494137960720764e+03 6.566471790644351131e+03 1.235740000000000000e+05
6.314078328527679140e-01 6.608075015769010861e+03 6.554052668452641228e+03 1.265060000000000000e+05
6.377090179731219610e-01 6.576251680005795606e+03 6.522229332689425974e+03 1.303720000000000000e+05
6.440064460832264359e-01 6.515597595213505883e+03 6.461575247897136251e+03 1.318120000000000000e+05
6.502830651582106603e-01 6.572434120206101397e+03 6.518411772889731765e+03 1.344920000000000000e+05
6.565805265356863263e-01 6.545836905454746557e+03 6.491814558138376924e+03 1.379620000000000000e+05
