# # k, P(k),P(k)-shotnoise, Nmodes
5.623114537777685884e-01 8.072050886469412035e+03 8.020443265200404312e+03 1.019620000000000000e+05
5.686318313430648308e-01 8.042783285359241745e+03 7.991175664090234022e+03 1.029860000000000000e+05
5.748997298340194906e-01 7.999116397752674857e+03 7.947508776483667134e+03 1.044280000000000000e+05
5.811784316152807106e-01 8.054212366460013982e+03 8.002604745191006259e+03 1.082760000000000000e+05
5.874623501555152894e-01 8.000591738136098684e+03 7.948984116867090961e+03 1.091300000000000000e+05
5.937358705487374433e-01 7.984735351419368271e+03 7.933127730150360549e+03 1.124920000000000000e+05
6.000132321575981642e-01 8.072899316199956957e+03 8.021291694930949234e+03 1.142380000000000000e+05
6.062764279011477742e-01 7.997575086680973072e+03 7.945967465411965350e+03 1.165200000000000000e+05
6.125579126729602253e-01 7.941661117076288974e+03 7.890053495807281251e+03 1.198680000000000000e+05
6.188758883571132685e-01 7.954630685119761438e+03 7.903023063850753715e+03 1.227600000000000000e+05
6.251574688191492424e-01 7.935798587733786007e+03 7.884190966464778285e+03 1.235740000000000000e+05
6.314078328527679140e-01 7.967349810269051886e+03 7.915742189000044164e+03 1.265060000000000000e+05
6.377090179731219610e-01 7.925005207150546994e+03 7.873397585881539271e+03 1.303720000000000000e+05
6.440064460832264359e-01 7.873426388380500612e+03 7.821818767111492889e+03 1.318120000000000000e+05
6.502830651582106603e-01 7.862302230359015994e+03 7.810694609090008271e+03 1.344920000000000000e+05
6.565805265356863263e-01 7.877329633951844698e+03 7.825722012682836976e+03 1.379620000000000000e+05
6.628599596871522781e-01 7.848423385803511337e+03 7.796815764534503614e+03 1.390120000000000000e+05
6.691298853551562731e-01 7.877003518564918522e+03 7.825395897295910800e+03 1.425480000000000000e+05
6.754222718254296876e-01 7.885885156440296669e+03 7.834277535171288946e+03 1.458880000000000000e+05
6.816939054591842906e-01 7.826457873956327603e+03 7.774850252687319880e+03 1.465620000000000000e+05
6.879709791718701117e-01 7.809217394062138737e+03 7.757609772793131015e+03 1.517500000000000000e+05
6.942614105711022443e-01 7.812773587198529640e+03 7.761165965929521917e+03 1.526260000000000000e+05
7.005365424756659909e-01 7.812180286767427788e+03 7.760572665498420065e+03 1.565860000000000000e+05
7.068233029523925959e-01 7.761439302361292903e+03 7.709831681092285180e+03 1.590780000000000000e+05
7.131225830129004351e-01 7.764627259279990540e+03 7.713019638010982817e+03 1.622900000000000000e+05
7.194106404935602939e-01 7.793468668053401416e+03 7.741861046784393693e+03 1.647700000000000000e+05
7.256916467573152341e-01 7.754251559750697197e+03 7.702643938481689474e+03 1.674660000000000000e+05
7.319862263035085137e-01 7.711924980070220045e+03 7.660317358801212322e+03 1.713680000000000000e+05
7.382778109483263407e-01 7.764330880261230050e+03 7.712723258992222327e+03 1.730960000000000000e+05
7.445474719729404667e-01 7.729194917977672958e+03 7.677587296708665235e+03 1.760120000000000000e+05
7.508031991267573035e-01 7.717005724830942199e+03 7.665398103561934477e+03 1.785720000000000000e+05
